id_commune;code_postal;commune
724;30530;PORTES
725;30410;MOLIERES-SUR-CEZE
726;30160;BESSEGES
727;30960;SAINT-FLORENT-SUR-AUZONNET
728;30110;LA GRAND COMBE
729;30140;ANDUZE
730;31400;TOULOUSE
731;31200;TOULOUSE
732;31000;TOULOUSE
733;31500;TOULOUSE
734;31780;CASTELGINEST
735;31140;FONBEAUZARD
736;31130;BALMA
737;31280;DREMIL LAFAGE
738;31240;L UNION
739;31140;AUCAMVILLE
740;31150;FENOUILLET
741;31180;ROUFFIAC TOLOSAN
742;31150;GAGNAC SUR GARONNE
743;31520;RAMONVILLE ST AGNE
744;31240;ST JEAN
745;31140;LAUNAGUET
746;31130;FLOURENS
747;31300;TOULOUSE
748;31170;TOURNEFEUILLE
749;31770;COLOMIERS
750;31100;TOULOUSE
751;31700;BLAGNAC
752;31340;VILLEMUR SUR TARN
753;31840;AUSSONNE
754;31270;CUGNAUX
755;31330;GRENADE SUR GARONNE
756;31880;LA SALVETAT ST GILLES
757;31700;MONDONVILLE
758;31620;FRONTON
759;31700;BEAUZELLE
760;31660;BESSIERES
761;31320;CASTANET TOLOSAN
762;31290;VILLEFRANCHE-DE-LAURAGAIS
763;31560;NAILLOUX
764;31670;LABEGE
765;31250;REVEL
766;31650;ST ORENS DE GAMEVILLE
767;31570;LANTA
768;31120;LACROIX FALGARDE
769;31320;AUZEVILLE-TOLOSANE
770;31750;ESCALQUENS
771;31380;MONTASTRUC LA CONSEILLERE
772;31450;POMPERTUZAT
773;31450;BAZIEGE
774;31270;FROUZINS
775;32000;AUCH
776;32100;CONDOM
777;32150;CAZAUBON
778;32200;GIMONT
779;32600;L ISLE JOURDAIN
780;33200;BORDEAUX
781;33160;SAINT AUBIN DE MEDOC
782;33290;PAREMPUYRE
783;33160;SAINT MEDARD EN JALLES
784;33000;BORDEAUX
785;33300;BORDEAUX
786;33520;BRUGES
787;33680;LACANAU
788;33110;LE BOUSCAT
789;33185;LE HAILLAN
790;33320;EYSINES
791;33290;LUDON MEDOC
792;33480;MOULIS-EN-MEDOC
793;33320;LE TAILLAN MEDOC
794;33480;CASTELNAU-DE-MEDOC
795;33290;BLANQUEFORT
796;33460;MARGAUX CANTENAC
797;33800;BORDEAUX
798;33130;BEGLES
799;33700;MERIGNAC
800;33170;GRADIGNAN
801;33400;TALENCE
802;33600;PESSAC
803;33140;VILLENAVE D ORNON
804;33127;SAINT JEAN D ILLAC
805;33127;MARTIGNAS SUR JALLE
806;33610;CANEJAN
807;33610;CESTAS
808;33410;CADILLAC
809;33380;BIGANOS
810;33120;ARCACHON
811;33560;CARBON BLANC
812;33140;CADAUJAC
813;33260;LA TESTE-DE-BUCH
814;33470;GUJAN MESTRAS
815;33150;CENON
816;33270;FLOIRAC
817;33210;TOULENNE
818;33510;ANDERNOS-LES-BAINS
819;33100;BORDEAUX
820;33310;LORMONT
821;33370;ARTIGUES-PRES-BORDEAUX
822;33550;PAILLET
823;33970;LEGE-CAP-FERRET
824;33470;LE TEICH
825;33450;ST SULPICE ET CAMEYRAC
826;33670;CREON
827;33770;SALLES
828;33370;TRESSES
829;33240;SAINT GERVAIS
830;33740;ARES
831;33370;FARGUES SAINT HILAIRE
832;33210;LANGON
833;33850;LEOGNAN
834;33950;LEGE-CAP-FERRET
835;33210;PREIGNAC
836;33440;ST LOUIS DE MONTFERRAND
837;33360;LATRESNE
838;33980;AUDENGE
839;33550;HAUX
840;33440;AMBARES-ET-LAGRAVE
841;33880;ST CAPRAIS DE BORDEAUX
842;33138;LANTON
843;33720;BARSAC
844;33114;LE BARP
845;33530;BASSENS
846;33550;LANGOIRAN
847;33370;YVRAC
848;33450;MONTUSSAN
849;33430;BAZAS
850;33240;SAINT-ANDRE-DE-CUBZAC
851;33360;CARIGNAN-DE-BORDEAUX
852;33380;MIOS
853;33550;LE TOURNE
854;33380;MARCHEPRIME
855;33115;LA TESTE-DE-BUCH
856;33640;CASTRES GIRONDE
857;33550;LESTIAC-SUR-GARONNE
858;33650;LA BREDE
859;33450;SAINT LOUBES
860;33560;SAINTE EULALIE
861;33690;GRIGNOLS
862;33420;GENISSAC
863;33500;LIBOURNE
864;33350;CASTILLON-LA-BATAILLE
865;33390;BLAYE
866;33220;PINEUILH
867;33920;SAINT-YZAN-DE-SOUDIAC
868;33750;SAINT-QUENTIN-DE-BARON
869;33920;SAINT-SAVIN
870;33230;COUTRAS
871;33660;ST-SEURIN-SUR-L ISLE
872;33220;SAINTE-FOY-LA-GRANDE
873;33820;SAINT-CIERS-SUR-GIRONDE
874;33870;VAYRES
875;33190;LA REOLE
876;33490;SAINT-MACAIRE
877;33540;SAUVETERRE-DE-GUYENNE
878;33121;CARCANS
879;33780;SOULAC-SUR-MER
880;33990;HOURTIN
881;33112;SAINT LAURENT MEDOC
882;33123;LE VERDON SUR MER
883;33340;LESPARRE-MEDOC
884;33180;VERTHEUIL
885;33590;SAINT-VIVIEN-DE-MEDOC
886;34080;MONTPELLIER
887;34000;MONTPELLIER
888;34070;MONTPELLIER
889;34090;MONTPELLIER
890;34250;PALAVAS-LES-FLOTS
891;34130;MAUGUIO
892;34990;JUVIGNAC
893;34470;PEROLS
894;34920;LE CRES
895;34280;LA GRANDE MOTTE
896;34170;CASTELNAU LE LEZ
897;34970;LATTES
898;34130;SAINT-AUNES
899;34430;SAINT-JEAN-DE-VEDAS
900;34790;GRABELS
901;34110;FRONTIGNAN
902;34200;SETE
903;34110;VIC-LA-GARDIOLE
904;34140;BOUZIGUES
905;34540;BALARUC LES BAINS
906;34740;VENDARGUES
907;34190;GANGES
908;34400;LUNEL
909;34800;CLERMONT L HERAULT
910;34980;SAINT-GELY-DU-FESC
911;34140;MEZE
912;34160;SUSSARGUES
913;34590;MARSILLARGUES
